"","Species","Region","Time","Value","Metric","Warm_Core_Rings_n","Latitude_degreesN","Longitude_degreesW","along_shelf_distance_km","northern_latitude","Recruitment","recreational_CPUE_number_of_fish_caught_per_day_fished_all_species"
"1","Atlantic wolffish","Gulf of Maine / Georges Bank",1982,4457,"Abundance",16,40.22615099,-70.98198855,792.6093421,44.4,922,7.27647105785162
"2","Atlantic wolffish","Gulf of Maine / Georges Bank",1983,4127,"Abundance",14,40.35608863,-70.90573945,808.0424258,44,361,5.78752805584714
"3","Atlantic wolffish","Gulf of Maine / Georges Bank",1984,3770,"Abundance",20,40.22562795,-71.16860054,781.9913976,43.983333,323,5.20611040014539
"4","Atlantic wolffish","Gulf of Maine / Georges Bank",1985,3362,"Abundance",17,40.36599576,-70.75694284,817.1288996,44.066667,228,6.76055976410869
"5","Atlantic wolffish","Gulf of Maine / Georges Bank",1986,2847,"Abundance",19,40.33593084,-70.80416542,812.2781223,44.066667,235,8.41133752735727
"6","Atlantic wolffish","Gulf of Maine / Georges Bank",1987,2635,"Abundance",15,40.37428663,-70.78087501,817.1158713,43.85,869,6.16777649341004
"7","Atlantic wolffish","Gulf of Maine / Georges Bank",1988,2489,"Abundance",20,40.45073261,-70.86739158,817.6219601,44.333333,316,4.95745297309715
"8","Atlantic wolffish","Gulf of Maine / Georges Bank",1989,2221,"Abundance",21,40.29854875,-71.01460882,796.5941413,43.95,572,4.13767980795599
"9","Atlantic wolffish","Gulf of Maine / Georges Bank",1990,2036,"Abundance",26,40.30155783,-70.97489654,798.7623034,43.716667,160,3.18951244311742
"10","Atlantic wolffish","Gulf of Maine / Georges Bank",1991,1830,"Abundance",16,40.41864141,-70.77690834,820.0910545,43.766667,149,3.43615713682841
"11","Atlantic wolffish","Gulf of Maine / Georges Bank",1992,1876,"Abundance",11,40.47955686,-70.72420001,828.446039,44.116667,263,2.91931103692896
"12","Atlantic wolffish","Gulf of Maine / Georges Bank",1993,1738,"Abundance",13,40.36139547,-70.74041936,817.3058002,43.883333,229,2.44110948570262
"13","Atlantic wolffish","Gulf of Maine / Georges Bank",1994,1619,"Abundance",21,40.51182101,-70.50702448,843.6565816,43.433333,282,2.53823378500309
"14","Atlantic wolffish","Gulf of Maine / Georges Bank",1995,1327,"Abundance",18,40.67657842,-70.49086837,858.3141769,44.333333,195,2.09285325320061
"15","Atlantic wolffish","Gulf of Maine / Georges Bank",1996,1123,"Abundance",20,40.40761369,-70.61213514,828.8794512,44.283333,217,1.7818406637159
"16","Atlantic wolffish","Gulf of Maine / Georges Bank",1997,977,"Abundance",23,40.46034533,-70.73484896,826.4137543,44.15,147,2.01429356438314
"17","Atlantic wolffish","Gulf of Maine / Georges Bank",1998,867,"Abundance",22,40.58397623,-70.71977025,838.0346349,43.65,121,1.79260316828951
"18","Atlantic wolffish","Gulf of Maine / Georges Bank",1999,814,"Abundance",20,40.48861163,-70.68643348,831.5220071,43.560167,85,1.9499994572924
"19","Atlantic wolffish","Gulf of Maine / Georges Bank",2000,802,"Abundance",27,40.67540363,-70.46292463,859.7844628,43.563333,69,2.38501518124824
"20","Atlantic wolffish","Gulf of Maine / Georges Bank",2001,735,"Abundance",36,40.53551709,-70.56903206,842.540767,44.024662,73,2.11913563781022
"21","Atlantic wolffish","Gulf of Maine / Georges Bank",2002,716,"Abundance",32,40.71166794,-70.50113143,860.6596093,44.187833,74,2.20100690144608
"22","Atlantic wolffish","Gulf of Maine / Georges Bank",2003,639,"Abundance",42,40.59326909,-70.49614997,851.666238,43.840667,77,2.43994708716007
"23","Atlantic wolffish","Gulf of Maine / Georges Bank",2004,556,"Abundance",36,40.43264261,-70.74083783,823.4554738,43.099918,65,2.23179050013897
"24","Atlantic wolffish","Gulf of Maine / Georges Bank",2005,453,"Abundance",41,40.46426535,-70.5168912,839.2541229,43.068583,53,2.00177382992635
"25","Atlantic wolffish","Gulf of Maine / Georges Bank",2006,368,"Abundance",39,40.65232782,-70.50544152,855.8629659,44.089283,74,2.06771668484637
"26","Atlantic wolffish","Gulf of Maine / Georges Bank",2007,335,"Abundance",35,40.522895,-70.4982223,844.7495694,43.107317,87,2.1508140608002
"27","Atlantic wolffish","Gulf of Maine / Georges Bank",2008,296,"Abundance",38,40.64940364,-70.47681277,856.632906,43.172645,67,2.31398879257961
"28","Atlantic wolffish","Gulf of Maine / Georges Bank",2009,303,"Abundance",31,40.59044988,-70.54315837,848.6868181,43.665663,64,1.86641432356701
"29","Atlantic wolffish","Gulf of Maine / Georges Bank",2010,353,"Abundance",33,40.54577301,-70.58712033,841.6310066,43.841237,80,2.83972571969491
"30","Atlantic wolffish","Gulf of Maine / Georges Bank",2011,410,"Abundance",32,40.48660363,-70.62489092,834.7560009,42.85866,86,2.61064653890135
"31","Atlantic wolffish","Gulf of Maine / Georges Bank",2012,477,"Abundance",31,40.79419136,-70.55718802,864.6159013,43.167368,127,2.66219618460158
"32","Atlantic wolffish","Gulf of Maine / Georges Bank",2013,537,"Abundance",24,40.7457291,-70.33436727,873.4671619,42.8045,288,3.4275632097748
"33","Atlantic wolffish","Gulf of Maine / Georges Bank",2014,593,"Abundance",25,41.068272,-70.09433965,914.2246527,43.095105,289,2.79152578434186
"34","Atlantic wolffish","Gulf of Maine / Georges Bank",2015,652,"Abundance",33,40.70259772,-70.34962414,868.7240872,42.91622,289,2.76964968292129
