"","Species","Region","Time","Value","Metric","centropages_zoo_spring_log_N_m__3","temora_zoo_spring_log_N_m__3"
"1","Pollock","Gulf of Maine / Georges Bank",1977,14100,"Recruitment",1.06844760824391,0.241528140594003
"2","Pollock","Gulf of Maine / Georges Bank",1978,29800,"Recruitment",2.08255928853452,0.0353622506738024
"3","Pollock","Gulf of Maine / Georges Bank",1979,30100,"Recruitment",3.00558645676542,0.611633037264496
"4","Pollock","Gulf of Maine / Georges Bank",1980,23700,"Recruitment",2.62179951955747,0.460563189613249
"5","Pollock","Gulf of Maine / Georges Bank",1981,17300,"Recruitment",2.51013334730738,0.916621394108108
"6","Pollock","Gulf of Maine / Georges Bank",1982,21000,"Recruitment",3.17728187703131,0.440790138560684
"7","Pollock","Gulf of Maine / Georges Bank",1983,15000,"Recruitment",1.94856459244586,1.1633872500739
"8","Pollock","Gulf of Maine / Georges Bank",1984,18100,"Recruitment",1.55997590443504,0.74486783075907
"9","Pollock","Gulf of Maine / Georges Bank",1985,20000,"Recruitment",1.9701792657998,0.24546717380434
"10","Pollock","Gulf of Maine / Georges Bank",1986,17100,"Recruitment",2.19771672891702,0
"11","Pollock","Gulf of Maine / Georges Bank",1987,24300,"Recruitment",1.96835511696929,1.42187057984338
"12","Pollock","Gulf of Maine / Georges Bank",1988,10600,"Recruitment",1.66142681393696,1.03689820299331
"13","Pollock","Gulf of Maine / Georges Bank",1992,34800,"Recruitment",3.35899699304075,1.66051000183185
"14","Pollock","Gulf of Maine / Georges Bank",1993,20400,"Recruitment",2.75145794258087,2.20339615327892
"15","Pollock","Gulf of Maine / Georges Bank",1995,33300,"Recruitment",3.34058970375956,2.27619264610359
"16","Pollock","Gulf of Maine / Georges Bank",1996,28000,"Recruitment",3.17574278848414,2.28882863272854
"17","Pollock","Gulf of Maine / Georges Bank",1997,48400,"Recruitment",3.18739885901594,2.4596904974941
"18","Pollock","Gulf of Maine / Georges Bank",1998,54300,"Recruitment",3.50621663031251,2.71756400642683
"19","Pollock","Gulf of Maine / Georges Bank",1999,52600,"Recruitment",3.35796769650112,2.67188378598075
"20","Pollock","Gulf of Maine / Georges Bank",2000,34300,"Recruitment",3.86795004486218,1.96906770869369
"21","Pollock","Gulf of Maine / Georges Bank",2001,36500,"Recruitment",3.89021192616202,2.80834622158144
"22","Pollock","Gulf of Maine / Georges Bank",2002,19500,"Recruitment",1.97709429460106,1.52475723076842
"23","Pollock","Gulf of Maine / Georges Bank",2003,21500,"Recruitment",1.3007122320538,0.969032145529897
"24","Pollock","Gulf of Maine / Georges Bank",2004,18000,"Recruitment",1.38961008321841,1.33506836810531
"25","Pollock","Gulf of Maine / Georges Bank",2005,22300,"Recruitment",1.36219591104786,1.24512570531862
"26","Pollock","Gulf of Maine / Georges Bank",2006,20300,"Recruitment",1.69935410533498,0.576076300380274
"27","Pollock","Gulf of Maine / Georges Bank",2007,18200,"Recruitment",2.54259867756713,1.31486500670157
"28","Pollock","Gulf of Maine / Georges Bank",2008,12400,"Recruitment",1.80879698166553,1.31900275132198
