"Time","stock_id","Value","Var","Units","Pattern_check"
1982,"atlantic_cod_gb_both",52.7981,"cumulative intensity","degrees C","Atlantic cod gb both"
1983,"atlantic_cod_gb_both",126.5919,"cumulative intensity","degrees C","Atlantic cod gb both"
1984,"atlantic_cod_gb_both",57.0431,"cumulative intensity","degrees C","Atlantic cod gb both"
1986,"atlantic_cod_gb_both",14.4369,"cumulative intensity","degrees C","Atlantic cod gb both"
1990,"atlantic_cod_gb_both",133.8722,"cumulative intensity","degrees C","Atlantic cod gb both"
1991,"atlantic_cod_gb_both",27.7519,"cumulative intensity","degrees C","Atlantic cod gb both"
1994,"atlantic_cod_gb_both",96.5335,"cumulative intensity","degrees C","Atlantic cod gb both"
1995,"atlantic_cod_gb_both",19.1211,"cumulative intensity","degrees C","Atlantic cod gb both"
1999,"atlantic_cod_gb_both",152.9629,"cumulative intensity","degrees C","Atlantic cod gb both"
2000,"atlantic_cod_gb_both",38.4266,"cumulative intensity","degrees C","Atlantic cod gb both"
2001,"atlantic_cod_gb_both",48.0019,"cumulative intensity","degrees C","Atlantic cod gb both"
2002,"atlantic_cod_gb_both",127.2628,"cumulative intensity","degrees C","Atlantic cod gb both"
2003,"atlantic_cod_gb_both",27.792,"cumulative intensity","degrees C","Atlantic cod gb both"
2005,"atlantic_cod_gb_both",46.2971,"cumulative intensity","degrees C","Atlantic cod gb both"
2006,"atlantic_cod_gb_both",96.9214,"cumulative intensity","degrees C","Atlantic cod gb both"
2008,"atlantic_cod_gb_both",21.1602,"cumulative intensity","degrees C","Atlantic cod gb both"
2009,"atlantic_cod_gb_both",91.4031,"cumulative intensity","degrees C","Atlantic cod gb both"
2010,"atlantic_cod_gb_both",78.4196,"cumulative intensity","degrees C","Atlantic cod gb both"
2011,"atlantic_cod_gb_both",106.9326,"cumulative intensity","degrees C","Atlantic cod gb both"
2012,"atlantic_cod_gb_both",600.6428,"cumulative intensity","degrees C","Atlantic cod gb both"
2013,"atlantic_cod_gb_both",262.7832,"cumulative intensity","degrees C","Atlantic cod gb both"
2014,"atlantic_cod_gb_both",205.4332,"cumulative intensity","degrees C","Atlantic cod gb both"
2015,"atlantic_cod_gb_both",408.0901,"cumulative intensity","degrees C","Atlantic cod gb both"
2016,"atlantic_cod_gb_both",198.0085,"cumulative intensity","degrees C","Atlantic cod gb both"
2017,"atlantic_cod_gb_both",184.1516,"cumulative intensity","degrees C","Atlantic cod gb both"
2018,"atlantic_cod_gb_both",271.6926,"cumulative intensity","degrees C","Atlantic cod gb both"
2019,"atlantic_cod_gb_both",40.054,"cumulative intensity","degrees C","Atlantic cod gb both"
2020,"atlantic_cod_gb_both",382.3833,"cumulative intensity","degrees C","Atlantic cod gb both"
1982,"atlantic_cod_gb_both",0.8744,"maximum intensity","degrees C","Atlantic cod gb both"
1982,"atlantic_cod_gb_both",1.665,"maximum intensity","degrees C","Atlantic cod gb both"
1982,"atlantic_cod_gb_both",1.9933,"maximum intensity","degrees C","Atlantic cod gb both"
1983,"atlantic_cod_gb_both",2.0655,"maximum intensity","degrees C","Atlantic cod gb both"
1983,"atlantic_cod_gb_both",2.5111,"maximum intensity","degrees C","Atlantic cod gb both"
1984,"atlantic_cod_gb_both",1.0931,"maximum intensity","degrees C","Atlantic cod gb both"
1984,"atlantic_cod_gb_both",1.725,"maximum intensity","degrees C","Atlantic cod gb both"
1984,"atlantic_cod_gb_both",2.3002,"maximum intensity","degrees C","Atlantic cod gb both"
1984,"atlantic_cod_gb_both",1.6402,"maximum intensity","degrees C","Atlantic cod gb both"
1984,"atlantic_cod_gb_both",2.3396,"maximum intensity","degrees C","Atlantic cod gb both"
1986,"atlantic_cod_gb_both",2.1205,"maximum intensity","degrees C","Atlantic cod gb both"
1990,"atlantic_cod_gb_both",1.9982,"maximum intensity","degrees C","Atlantic cod gb both"
1990,"atlantic_cod_gb_both",3.5208,"maximum intensity","degrees C","Atlantic cod gb both"
1990,"atlantic_cod_gb_both",2.4977,"maximum intensity","degrees C","Atlantic cod gb both"
1991,"atlantic_cod_gb_both",1.3625,"maximum intensity","degrees C","Atlantic cod gb both"
1991,"atlantic_cod_gb_both",2.5291,"maximum intensity","degrees C","Atlantic cod gb both"
1994,"atlantic_cod_gb_both",3.1765,"maximum intensity","degrees C","Atlantic cod gb both"
1995,"atlantic_cod_gb_both",2.2458,"maximum intensity","degrees C","Atlantic cod gb both"
1999,"atlantic_cod_gb_both",2.6705,"maximum intensity","degrees C","Atlantic cod gb both"
1999,"atlantic_cod_gb_both",1.9066,"maximum intensity","degrees C","Atlantic cod gb both"
1999,"atlantic_cod_gb_both",3.0536,"maximum intensity","degrees C","Atlantic cod gb both"
1999,"atlantic_cod_gb_both",2.0349,"maximum intensity","degrees C","Atlantic cod gb both"
1999,"atlantic_cod_gb_both",1.6744,"maximum intensity","degrees C","Atlantic cod gb both"
1999,"atlantic_cod_gb_both",1.6107,"maximum intensity","degrees C","Atlantic cod gb both"
2000,"atlantic_cod_gb_both",1.8056,"maximum intensity","degrees C","Atlantic cod gb both"
2000,"atlantic_cod_gb_both",2.0488,"maximum intensity","degrees C","Atlantic cod gb both"
2001,"atlantic_cod_gb_both",2.5384,"maximum intensity","degrees C","Atlantic cod gb both"
2001,"atlantic_cod_gb_both",2.5246,"maximum intensity","degrees C","Atlantic cod gb both"
2001,"atlantic_cod_gb_both",1.4313,"maximum intensity","degrees C","Atlantic cod gb both"
2001,"atlantic_cod_gb_both",1.8153,"maximum intensity","degrees C","Atlantic cod gb both"
2002,"atlantic_cod_gb_both",1.8176,"maximum intensity","degrees C","Atlantic cod gb both"
2002,"atlantic_cod_gb_both",1.198,"maximum intensity","degrees C","Atlantic cod gb both"
2002,"atlantic_cod_gb_both",1.7935,"maximum intensity","degrees C","Atlantic cod gb both"
2002,"atlantic_cod_gb_both",3.1756,"maximum intensity","degrees C","Atlantic cod gb both"
2002,"atlantic_cod_gb_both",1.9482,"maximum intensity","degrees C","Atlantic cod gb both"
2002,"atlantic_cod_gb_both",1.5785,"maximum intensity","degrees C","Atlantic cod gb both"
2003,"atlantic_cod_gb_both",1.8546,"maximum intensity","degrees C","Atlantic cod gb both"
2003,"atlantic_cod_gb_both",1.8143,"maximum intensity","degrees C","Atlantic cod gb both"
2005,"atlantic_cod_gb_both",1.4994,"maximum intensity","degrees C","Atlantic cod gb both"
2005,"atlantic_cod_gb_both",2.9097,"maximum intensity","degrees C","Atlantic cod gb both"
2006,"atlantic_cod_gb_both",2.0241,"maximum intensity","degrees C","Atlantic cod gb both"
2006,"atlantic_cod_gb_both",1.9958,"maximum intensity","degrees C","Atlantic cod gb both"
2006,"atlantic_cod_gb_both",2.4907,"maximum intensity","degrees C","Atlantic cod gb both"
2008,"atlantic_cod_gb_both",2.1375,"maximum intensity","degrees C","Atlantic cod gb both"
2008,"atlantic_cod_gb_both",1.7822,"maximum intensity","degrees C","Atlantic cod gb both"
2009,"atlantic_cod_gb_both",2.7123,"maximum intensity","degrees C","Atlantic cod gb both"
2009,"atlantic_cod_gb_both",3.1012,"maximum intensity","degrees C","Atlantic cod gb both"
2010,"atlantic_cod_gb_both",1.4196,"maximum intensity","degrees C","Atlantic cod gb both"
2010,"atlantic_cod_gb_both",2.4452,"maximum intensity","degrees C","Atlantic cod gb both"
2010,"atlantic_cod_gb_both",3.5858,"maximum intensity","degrees C","Atlantic cod gb both"
2010,"atlantic_cod_gb_both",1.7427,"maximum intensity","degrees C","Atlantic cod gb both"
2011,"atlantic_cod_gb_both",1.9502,"maximum intensity","degrees C","Atlantic cod gb both"
2011,"atlantic_cod_gb_both",2.8386,"maximum intensity","degrees C","Atlantic cod gb both"
2011,"atlantic_cod_gb_both",1.6468,"maximum intensity","degrees C","Atlantic cod gb both"
2011,"atlantic_cod_gb_both",1.959,"maximum intensity","degrees C","Atlantic cod gb both"
2012,"atlantic_cod_gb_both",1.7174,"maximum intensity","degrees C","Atlantic cod gb both"
2012,"atlantic_cod_gb_both",3.7012,"maximum intensity","degrees C","Atlantic cod gb both"
2012,"atlantic_cod_gb_both",2.8902,"maximum intensity","degrees C","Atlantic cod gb both"
2012,"atlantic_cod_gb_both",3.0246,"maximum intensity","degrees C","Atlantic cod gb both"
2012,"atlantic_cod_gb_both",1.929,"maximum intensity","degrees C","Atlantic cod gb both"
2013,"atlantic_cod_gb_both",2.3022,"maximum intensity","degrees C","Atlantic cod gb both"
2013,"atlantic_cod_gb_both",2.5616,"maximum intensity","degrees C","Atlantic cod gb both"
2013,"atlantic_cod_gb_both",3.0757,"maximum intensity","degrees C","Atlantic cod gb both"
2013,"atlantic_cod_gb_both",1.7302,"maximum intensity","degrees C","Atlantic cod gb both"
2013,"atlantic_cod_gb_both",2.0306,"maximum intensity","degrees C","Atlantic cod gb both"
2014,"atlantic_cod_gb_both",0.8844,"maximum intensity","degrees C","Atlantic cod gb both"
2014,"atlantic_cod_gb_both",2.1981,"maximum intensity","degrees C","Atlantic cod gb both"
2014,"atlantic_cod_gb_both",2.3017,"maximum intensity","degrees C","Atlantic cod gb both"
2014,"atlantic_cod_gb_both",2.2825,"maximum intensity","degrees C","Atlantic cod gb both"
2015,"atlantic_cod_gb_both",3.138,"maximum intensity","degrees C","Atlantic cod gb both"
2015,"atlantic_cod_gb_both",3.018,"maximum intensity","degrees C","Atlantic cod gb both"
2015,"atlantic_cod_gb_both",1.7713,"maximum intensity","degrees C","Atlantic cod gb both"
2015,"atlantic_cod_gb_both",2.1629,"maximum intensity","degrees C","Atlantic cod gb both"
2015,"atlantic_cod_gb_both",2.8443,"maximum intensity","degrees C","Atlantic cod gb both"
2016,"atlantic_cod_gb_both",1.7701,"maximum intensity","degrees C","Atlantic cod gb both"
2016,"atlantic_cod_gb_both",2.0864,"maximum intensity","degrees C","Atlantic cod gb both"
2016,"atlantic_cod_gb_both",2.0682,"maximum intensity","degrees C","Atlantic cod gb both"
2016,"atlantic_cod_gb_both",2.2716,"maximum intensity","degrees C","Atlantic cod gb both"
2016,"atlantic_cod_gb_both",4.147,"maximum intensity","degrees C","Atlantic cod gb both"
2016,"atlantic_cod_gb_both",1.4342,"maximum intensity","degrees C","Atlantic cod gb both"
2017,"atlantic_cod_gb_both",2.0288,"maximum intensity","degrees C","Atlantic cod gb both"
2017,"atlantic_cod_gb_both",1.6636,"maximum intensity","degrees C","Atlantic cod gb both"
2017,"atlantic_cod_gb_both",2.5815,"maximum intensity","degrees C","Atlantic cod gb both"
2017,"atlantic_cod_gb_both",3.351,"maximum intensity","degrees C","Atlantic cod gb both"
2018,"atlantic_cod_gb_both",1.4251,"maximum intensity","degrees C","Atlantic cod gb both"
2018,"atlantic_cod_gb_both",2.2928,"maximum intensity","degrees C","Atlantic cod gb both"
